"
District",Total Local Body,Gaupalika,Nagarpalika,Upa Mahanarpalika,Mahanarpalika
Achham,10,6,4,,
Arghakhanchi,6,3,3,,
Baglung,10,6,4,,
Baitadi,10,6,4,,
Bajhang,12,9,2,,
Bajura,9,5,4,,
Banke,8,6,1,1,
Bara,13,7,5,1,
Bardiya,8,6,1,1,
Bhaktapur,4,,4,,
Bhojpur,9,7,2,,
Chitwan,7,1,5,,1
Dadeldhura,7,5,2,,
Dailekh,1,7,4,,
Dang,10,7,1,2,
Darchula,9,6,3,,
Dhading,13,11,2,,
Dhankuta,7,4,3,,
Dhanusa,13,4,8,1,
Dolakha,9,7,2,,
Dolpa,8,7,1,,
Doti,9,7,2,,
Gorkha,11,9,2,,
Gulmi,12,10,2,,
Humla,7,7,,,
Ilam,10,6,4,,
Jajarkot,7,4,3,,
Jhapa,15,7,8,,
Jumla,8,7,1,,
Kailali,13,6,6,1,
Kalikot,10,6,3,,
Kanchanpur,9,2,7,,
Kapilbastu,10,4,6,,
Kaski,5,4,,,1
Kathmandu,9,,8,,1
Kavrepalanchok,13,7,6,,
Khotang,10,8,2,,
Lalitpur,6,2,3,,1
Lamjung,8,4,4,,
Mahottari,12,11,3,,
Makwanpur,10,8,1,1,
Manang,3,3,,,
Morang,17,8,8,1,
Mugu,4,3,1,,
Mustang,5,5,,,
Myagdi,6,5,1,,
Nawalparasi,15,8,7,,
Nuwakot,12,11,1,,
Okhaldhunga,10,7,1,,
Palpa,10,8,2,,
Panchthar,8,7,1,,
Parbat,7,5,2,,
Parsa,11,9,1,1,
Pyuthan,9,7,2,,
Ramechhap,8,6,2,,
Rasuwa,5,5,,,
Rautahat,15,12,3,,
Rolpa,10,9,1,,
Rukum,9,6,3,,
Rupandehi,16,10,5,1,
Salyan,10,7,3,,
Sankhuwasabha,10,5,5,,
Saptari,12,6,6,,
Sarlahi,16,8,8,,
Sindhuli,9,7,2,,
Sindhupalchok,12,9,3,,
Siraha,12,6,6,,
Solukhumbu,8,7,1,,
Sunsari,6,6,4,,
Surkhet,9,4,5,,
Syangja,8,6,5,,
Tanahu,10,6,4,,
Taplejung,9,1,8,,
Terhathum,6,4,2,,
Udayapur,8,4,4,,
Total,,459,243,11,4
