वडा नं,"समावेश भएका साविक 
गा.वि.स./ न.पा.हरु",साविक वडा नं.,जनसंख्या,"क्षेत्रफल
(वर्ग कि.मी.)"
,,,,
१,ईटहरी ,"२१,२६",4348,४.३३
२,ईटहरी ,२,11561,11.79
३,ईटहरी ,३,4086,12.41
४,ईटहरी ,४,15914,3.05
५,ईटहरी ,५,14339,3.02
६,ईटहरी ,१,7903,0.45
७,ईटहरी ,६,3687,3.48
८,ईटहरी ,७,6973,3
९,ईटहरी ,८,7558,1.48
१०,ईटहरी ,१०,3907,3.32
११,ईटहरी ,११,4121,4.19
१२,ईटहरी ,१२,5506,2.02
१३,ईटहरी ,"13,१४",६७८९,३.६७
१४,ईटहरी ,"9,15",4964,7.65
१५,ईटहरी ,१६,2679,4.58
१६,ईटहरी ,"17,२०",६२३२,८.५१
१७,ईटहरी ,"19,२२",८००१,४.९४
१८,ईटहरी ,१८,4133,6.85
१९,ईटहरी ,"23,25",6835,3.18
२०,ईटहरी ,२४,10981,1.87
