"
District",Registered Political Parties
Achham,11
Arghakhanchi,13
Baglung,14
Baitadi,13
Bajhang,12
Bajura,9
Banke,26
Bara,36
Bardiya,20
Bhaktapur,35
Bhojpur,13
Chitwan,24
Dadeldhura,13
Dailekh,11
Dang,27
Darchula,12
Dhading,16
Dhankuta,17
Dhanusa,35
Dolakha,20
Dolpa,9
Doti,9
Gorkha,15
Gulmi,13
Humla,13
Ilam,15
Jajarkot,11
Jhapa,18
Jumla,14
Kailali,25
Kalikot,16
Kanchanpur,25
Kapilbastu,26
Kaski,23
Kathmandu,47
Kavrepalanchok,25
Khotang,12
Lalitpur,34
Lamjung,11
Mahottari,29
Makwanpur,22
Manang,6
Morang,35
Mugu,16
Mustang,7
Myagdi,12
Nawalparasi,32
Nuwakot,21
Okhaldhunga,13
Palpa,11
Panchthar,13
Parbat,16
Parsa,40
Pyuthan,11
Ramechhap,17
Rasuwa,9
Rautahat,35
Rolpa,11
Rukum,14
Rupandehi,30
Salyan,14
Sankhuwasabha,18
Saptari,30
Sarlahi,37
Sindhuli,20
Sindhupalchok,20
Siraha,31
Solukhumbu,11
Sunsari,35
Surkhet,17
Syangja,19
Tanahu,20
Taplejung,12
Terhathum,14
Udayapur,23
Total,1459
