SerialNo,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,CenterConstID,TotalVotesReceived,EStatus,Rank
104,1,भवानी प्रसाद खापुङ,पुरुष,56,नेपाल कम्युनिष्ट पार्टी (एमाले),तेर्हथुम,1,21335,Elected,1
105,1,सिता गुरुङ्ग,महिला,41,नेपाली काँग्रेस,तेर्हथुम,1,19314,,2
106,1,शंकर मान लिम्बु,पुरुष,37,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,तेर्हथुम,1,910,,3
107,1,टंक बहादुर भट्टराई,पुरुष,60,नयाँ शक्ति पार्टी नेपाल,तेर्हथुम,1,170,,4
108,1,तुलसी प्रसाद अधिकारी,पुरुष,48,संघीय समाजवादी फोरम नेपाल,तेर्हथुम,1,156,,5
109,1,डिल्ली बहादुर बुढाथोकी,पुरुष,26,नेपाल कम्युनिष्ट पार्टी (माले) ,तेर्हथुम,1,145,,6
110,1,सागर नाथ रेग्मी,पुरुष,59,राष्ट्रिय जनमुक्ति पार्टी,तेर्हथुम,1,97,,7
111,1,काली बहादुर फुदोङ,पुरुष,54,देशभक्त जनगणतान्त्रिक मोर्चा नेपाल,तेर्हथुम,1,50,,8
112,1,गौरी प्रसाद कन्दङवा,पुरुष,64,एकीकृत राष्ट्रिय प्रजातन्त्र पार्टी(राष्ट्रवादी),तेर्हथुम,1,46,,9
113,1,गंगा वहादुर चोङवाङ् लिम्बु,पुरुष,31,मंगोल नेशनल अर्गनाइजेसन,तेर्हथुम,1,45,,10
114,1,हरि लाल अधिकारी,पुरुष,64,राष्ट्रिय जनमोर्चा,तेर्हथुम,1,33,,11
