SerialNo,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,CenterConstID,TotalVotesReceived,EStatus,Rank
1828,7,रेशम लाल चौधरी,पुरुष,40,राष्ट्रिय जनता पार्टी नेपाल,कैलाली,1,34341,Elected,1
1829,7,मदन कुमारी शाह,महिला,48,नेपाल कम्युनिष्ट पार्टी (एमाले),कैलाली,1,13406,,2
1830,7,ईश्वरी न्यौपाने,महिला,57,नेपाली काँग्रेस,कैलाली,1,11203,,3
1831,7,भगत राम थारु (चौधरी),पुरुष,47,संघीय समाजवादी फोरम नेपाल,कैलाली,1,678,,4
1832,7,बसन्त राज खत्री,पुरुष,48,नयाँ शक्ति पार्टी नेपाल,कैलाली,1,335,,5
1833,7,लोक बहादुर बुढा क्षेत्री,पुरुष,35,विवेकशील साझा पार्टी,कैलाली,1,240,,6
1834,7,मया राम आचार्य,पुरुष,53,देशभक्त जनगणतान्त्रिक मोर्चा नेपाल,कैलाली,1,121,,7
1835,7,तिल बहादुर दमाई,पुरुष,41,राष्ट्रिय जनमोर्चा,कैलाली,1,103,,8
1836,7,सन्जीव भट्टराई,पुरुष,29,स्वतन्त्र,कैलाली,1,88,,9
1837,7,शेर सिंह विश्वकर्मा,पुरुष,36,नेपाल दलित पार्टी,कैलाली,1,80,,10
1838,7,धन बहादुर मगर,पुरुष,65,नेपाल मजदुर किसान पार्टी,कैलाली,1,68,,11
1839,7,तिलक बहादुर भण्‍डारी,पुरुष,47,स्वतन्त्र,कैलाली,1,28,,12
