SerialNo,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,CenterConstID,SCConstID,TotalVotesReceived,EStatus,Rank
2329,4,रोशन बहादुर गाहा थापा,पुरुष,54,नेपाल कम्युनिष्ट पार्टी (एमाले),नवलपरासी (बर्दघाट सुस्ता पूर्व),1,2,20790,Elected,1
2330,4,महेन्द्र ध्वज जि.सि.,पुरुष,59,नेपाली काँग्रेस,नवलपरासी (बर्दघाट सुस्ता पूर्व),1,2,19941,,2
2331,4,पदमाया गाहा मगर,महिला,25,राष्ट्रिय जनमुक्ति पार्टी,नवलपरासी (बर्दघाट सुस्ता पूर्व),1,2,353,,3
2332,4,रुद्र बहादुर गुरुङ्ग,पुरुष,58,नयाँ शक्ति पार्टी नेपाल,नवलपरासी (बर्दघाट सुस्ता पूर्व),1,2,332,,4
2333,4,राम प्रसाद चापागाई,पुरुष,35,विवेकशील साझा पार्टी,नवलपरासी (बर्दघाट सुस्ता पूर्व),1,2,287,,5
2334,4,राम बहादुर श्रेष्ठ,पुरुष,59,राष्ट्रिय प्रजातन्त्र पार्टी (प्रजातान्त्रिक),नवलपरासी (बर्दघाट सुस्ता पूर्व),1,2,192,,6
2335,4,विष्‍णु प्रसाद खत्री केसी,पुरुष,30,राष्ट्रिय प्रजातन्त्र पार्टी,नवलपरासी (बर्दघाट सुस्ता पूर्व),1,2,69,,7
2336,4,मणी प्रसाद न्यौपाने,पुरुष,60,देशभक्त जनगणतान्त्रिक मोर्चा नेपाल,नवलपरासी (बर्दघाट सुस्ता पूर्व),1,2,61,,8
2337,4,टम बहादुर थापा मगर,पुरुष,51,मंगोल नेशनल अर्गनाइजेसन,नवलपरासी (बर्दघाट सुस्ता पूर्व),1,2,55,,9
2338,4,लालु खराल,पुरुष,51,राष्ट्रिय जनमोर्चा,नवलपरासी (बर्दघाट सुस्ता पूर्व),1,2,39,,10
