SerialNo,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,CenterConstID,SCConstID,TotalVotesReceived,EStatus,Rank
1798,2,शेख अबुलकलाम आजाद,पुरुष,50,स्वतन्त्र,रौतहट,4,2,7393,Elected,1
1799,2,रामाज्ञा राय,पुरुष,46,नेपाली काँग्रेस,रौतहट,4,2,7268,,2
1800,2,नागेन्‍द्र यादव,पुरुष,63,नेपाल कम्युनिष्ट पार्टी (एमाले),रौतहट,4,2,6674,,3
1801,2,प्रदिप शम्शेर राणा,पुरुष,70,राष्ट्रिय जनता पार्टी नेपाल,रौतहट,4,2,4840,,4
1802,2,जयपाल सहनी,पुरुष,74,राष्ट्रिय प्रजातन्त्र पार्टी,रौतहट,4,2,278,,5
1803,2,प्रहलाद साह तेली,पुरुष,30,देशभक्त जनगणतान्त्रिक मोर्चा नेपाल,रौतहट,4,2,100,,6
1804,2,मिना देवी थारु,महिला,41,एकीकृत राष्ट्रिय प्रजातन्त्र पार्टी(राष्ट्रवादी),रौतहट,4,2,68,,7
1805,2,शेख अमरुदिन,पुरुष,43,नेपाल संघीय समाजवादी पार्टी,रौतहट,4,2,56,,8
1806,2,हरेन्द्र झा,पुरुष,34,नेपाल जनता पार्टी,रौतहट,4,2,46,,9
1807,2,रामदुलार राय यादव,पुरुष,30,स्वतन्त्र,रौतहट,4,2,27,,10
1808,2,महेन्द्र सहनी,पुरुष,39,लोककल्याणकारी जनता पार्टी नेपाल,रौतहट,4,2,12,,11
1809,2,छविलाल सहनी,पुरुष,28,स्वतन्त्र,रौतहट,4,2,11,,12
1810,2,देवेन्‍द्र राय यादव,पुरुष,39,स्वतन्त्र,रौतहट,4,2,8,,13
1811,2,सुरेश राय यादव,पुरुष,37,स्वतन्त्र,रौतहट,4,2,7,,14
1812,2,शेख वबैदुलाह,पुरुष,43,स्वतन्त्र,रौतहट,4,2,5,,15
1813,2,भविछन सहनी,पुरुष,37,स्वतन्त्र,रौतहट,4,2,3,,16
1814,2,अकलु सहनी,पुरुष,40,स्वतन्त्र,रौतहट,4,2,2,,17
