SerialNo,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,CenterConstID,SCConstID,TotalVotesReceived,EStatus,Rank
2956,5,कविराम थारु,पुरुष,57,नेपाल कम्युनिष्ट पार्टी (एमाले),बर्दिया,1,1,23560,Elected,1
2957,5,सोदे विष्ट,पुरुष,51,नेपाली काँग्रेस,बर्दिया,1,1,21193,,2
2958,5,रमेश कुमार शर्मा,पुरुष,43,नेपाल कम्युनिष्ट पार्टी (माले) ,बर्दिया,1,1,1130,,3
2959,5,आनन्द ढुङ्गाना,पुरुष,52,नयाँ शक्ति पार्टी नेपाल,बर्दिया,1,1,519,,4
2960,5,ठेरी लोहार,पुरुष,57,एकीकृत राष्ट्रिय प्रजातन्त्र पार्टी(राष्ट्रवादी),बर्दिया,1,1,230,,5
2961,5,कृष्ण बहादुर चन्द,पुरुष,75,राष्ट्रिय प्रजातन्त्र पार्टी,बर्दिया,1,1,210,,6
2962,5,लल्लन अहिर,पुरुष,50,संघीय समाजवादी फोरम नेपाल,बर्दिया,1,1,154,,7
2963,5,बिशेश्‍वर यादव,पुरुष,63,स्वतन्त्र,बर्दिया,1,1,116,,8
2964,5,वीर बहादुर थारु,पुरुष,41,नेपाल दलित पार्टी,बर्दिया,1,1,109,,9
2965,5,तोया नाथ अधिकारी,पुरुष,65,राष्ट्रिय जनमोर्चा,बर्दिया,1,1,107,,10
2966,5,तिर्थ प्रसाद अधिकारी,पुरुष,48,स्वतन्त्र,बर्दिया,1,1,10,,11
