SerialNo,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,CenterConstID,SCConstID,TotalVotesReceived,EStatus,Rank
2482,5,भूमिश्‍वर ढकाल,पुरुष,51,नेपाल कम्युनिष्ट पार्टी (एमाले),रुपन्देही,5,1,22025,Elected,1
2483,5,विष्‍णु प्रसाद पोखरेल,पुरुष,34,नेपाली काँग्रेस,रुपन्देही,5,1,15416,,2
2484,5,शुसिला थारु,महिला,33,संघीय समाजवादी फोरम नेपाल,रुपन्देही,5,1,3804,,3
2485,5,दर्गा राजकोटी,पुरुष,40,राष्ट्रिय जनमुक्ति पार्टी,रुपन्देही,5,1,1604,,4
2486,5,लिला बल्लव खनाल,पुरुष,57,राष्ट्रिय जनमोर्चा,रुपन्देही,5,1,380,,5
2487,5,गिर बहादुर थापा,पुरुष,48,देशभक्त जनगणतान्त्रिक मोर्चा नेपाल,रुपन्देही,5,1,290,,6
2488,5,मिन प्रसाद घिमिरे,पुरुष,59,स्वतन्त्र,रुपन्देही,5,1,236,,7
2489,5,सुदिप थापा,पुरुष,28,मंगोल नेशनल अर्गनाइजेसन,रुपन्देही,5,1,184,,8
2490,5,सोमनाथ शर्मा पौडेल,पुरुष,50,नयाँ शक्ति पार्टी नेपाल,रुपन्देही,5,1,88,,9
2491,5,रमन गिरी,पुरुष,45,राष्ट्रिय प्रजातन्त्र पार्टी,रुपन्देही,5,1,74,,10
2492,5,शशीधर सापकोटा,पुरुष,34,स्वतन्त्र,रुपन्देही,5,1,23,,11
2493,5,प्रेम चन्द्र पोखरेल,पुरुष,52,स्वतन्त्र,रुपन्देही,5,1,17,,12
2494,5,महादेव उपाध्याय पोडेल,पुरुष,58,स्वतन्त्र,रुपन्देही,5,1,7,,13
2495,5,खेमलाल ढकाल,पुरुष,62,स्वतन्त्र,रुपन्देही,5,1,6,,14
