SerialNo,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,CenterConstID,SCConstID,TotalVotesReceived,EStatus,Rank
1445,3,रमा आले मगर,महिला,45,नेपाल कम्युनिष्ट पार्टी (एमाले),काठमाडौं,10,2,9903,Elected,1
1446,3,धर्म नन्‍द श्रेष्‍ठ,पुरुष,40,नेपाली काँग्रेस,काठमाडौं,10,2,7017,,2
1447,3,एलिसा महर्जन,महिला,33,विवेकशील साझा पार्टी,काठमाडौं,10,2,506,,3
1448,3,घन श्‍याम श्रेष्‍ठ,पुरुष,35,नेपाल कम्युनिष्ट पार्टी (माले) ,काठमाडौं,10,2,358,,4
1449,3,राज कुमार के.सी.,पुरुष,41,राष्ट्रिय प्रजातन्त्र पार्टी (प्रजातान्त्रिक),काठमाडौं,10,2,120,,5
1450,3,सुरेश लामा तामाङ्‍ग,पुरुष,36,देशभक्त जनगणतान्त्रिक मोर्चा नेपाल,काठमाडौं,10,2,113,,6
1451,3,बिष्‍णु भक्त गोपाली,पुरुष,55,नेपाः राष्ट्रिय पार्टी,काठमाडौं,10,2,101,,7
1452,3,बलराम कार्की,पुरुष,73,नेपाली कांग्रेस (बी.पी.),काठमाडौं,10,2,87,,8
1453,3,होम प्रसाद रिजाल,पुरुष,66,नयाँ शक्ति पार्टी नेपाल,काठमाडौं,10,2,85,,9
1454,3,देव कुमार महर्जन,पुरुष,32,संघीय समाजवादी फोरम नेपाल,काठमाडौं,10,2,74,,10
1455,3,हिरा काजी शाही,पुरुष,54,नेपाल मजदुर किसान पार्टी,काठमाडौं,10,2,55,,11
1456,3,कृष्ण मिजार,पुरुष,45,एकीकृत राष्ट्रिय प्रजातन्त्र पार्टी(राष्ट्रवादी),काठमाडौं,10,2,44,,12
1457,3,मनहरी वलामी,पुरुष,37,राष्ट्रिय जनमोर्चा,काठमाडौं,10,2,35,,13
1458,3,सुमन सिग्देल,पुरुष,42,स्वतन्त्र,काठमाडौं,10,2,6,,14
