SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
33170,0,4,छिङछिवि गुरुङ,महिला,41,नेपाली काँग्रेस,मुस्तांग,बाह्गाउँ मुक्तिक्षेत्र गाउँपालिका,1,महिला सदस्य,137,,2
33171,1,4,साङमो छिरिङ गुरुङ,महिला,26,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी-लेनिनवादी),मुस्तांग,बाह्गाउँ मुक्तिक्षेत्र गाउँपालिका,1,महिला सदस्य,161,E,1
33172,0,4,कर्साङ आङमो गुरुङ,महिला,58,नेपाली काँग्रेस,मुस्तांग,बाह्गाउँ मुक्तिक्षेत्र गाउँपालिका,2,महिला सदस्य,81,E,1
33173,1,4,छिमी साङमो गुरुङ,महिला,33,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी-लेनिनवादी),मुस्तांग,बाह्गाउँ मुक्तिक्षेत्र गाउँपालिका,2,महिला सदस्य,80,,2
33174,1,4,रिङजिङ छेटो गुरुङ,महिला,37,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी-लेनिनवादी),मुस्तांग,बाह्गाउँ मुक्तिक्षेत्र गाउँपालिका,3,महिला सदस्य,139,,2
33175,0,4,शान्ती गुरुङ,महिला,25,नेपाली काँग्रेस,मुस्तांग,बाह्गाउँ मुक्तिक्षेत्र गाउँपालिका,3,महिला सदस्य,143,E,1
33176,1,4,ल्हम्ङे गुरुङ,महिला,40,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी-लेनिनवादी),मुस्तांग,बाह्गाउँ मुक्तिक्षेत्र गाउँपालिका,4,महिला सदस्य,125,,2
33177,0,4,लक्ष्मी कुमारी गुरुङ,महिला,47,नेपाली काँग्रेस,मुस्तांग,बाह्गाउँ मुक्तिक्षेत्र गाउँपालिका,4,महिला सदस्य,159,E,1
33178,0,4,तेन्जिन पाल्मो गुरुङ,महिला,34,नेपाली काँग्रेस,मुस्तांग,बाह्गाउँ मुक्तिक्षेत्र गाउँपालिका,5,महिला सदस्य,112,,2
33179,1,4,देवी गुरुङ,महिला,35,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी-लेनिनवादी),मुस्तांग,बाह्गाउँ मुक्तिक्षेत्र गाउँपालिका,5,महिला सदस्य,133,E,1
