PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,SerialNo,TotalVotesReceived,EStatus,Rank
1,4,भिम कुमारी गुरुङ,महिला,31,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी-लेनिनवादी),लमजुंग,क्व्होलासोथार गाउँपालिका,1,महिला सदस्य,25762,293,E,1
0,4,लक्ष्मी कुमारी गुरुङ,महिला,41,नेपाली काँग्रेस,लमजुंग,क्व्होलासोथार गाउँपालिका,1,महिला सदस्य,25763,118,,2
0,4,आगम सरी  गुरुङ,महिला,51,नेपाली काँग्रेस,लमजुंग,क्व्होलासोथार गाउँपालिका,2,महिला सदस्य,25764,411,E,1
1,4,जमुना लामा,महिला,42,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी-लेनिनवादी),लमजुंग,क्व्होलासोथार गाउँपालिका,2,महिला सदस्य,25765,278,,2
1,4,शान्ती गुरुङ,महिला,27,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी-लेनिनवादी),लमजुंग,क्व्होलासोथार गाउँपालिका,3,महिला सदस्य,25766,562,E,1
0,4,गंगा न्यौपाने क्षेत्री,महिला,36,नेपाली काँग्रेस,लमजुंग,क्व्होलासोथार गाउँपालिका,3,महिला सदस्य,25767,105,,2
1,4,गमी माया गुरुङ,महिला,33,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी-लेनिनवादी),लमजुंग,क्व्होलासोथार गाउँपालिका,4,महिला सदस्य,25768,687,E,1
0,4,दुर्गा माया गुरुङ,महिला,32,नेपाली काँग्रेस,लमजुंग,क्व्होलासोथार गाउँपालिका,4,महिला सदस्य,25769,88,,2
1,4,मञ्‍जु गुरुङ,महिला,27,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी-लेनिनवादी),लमजुंग,क्व्होलासोथार गाउँपालिका,5,महिला सदस्य,25770,319,E,1
0,4,लोस देवी गुरुङ,महिला,27,नेपाली काँग्रेस,लमजुंग,क्व्होलासोथार गाउँपालिका,5,महिला सदस्य,25771,147,,2
1,4,रहेल गुरुङ,महिला,35,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी-लेनिनवादी),लमजुंग,क्व्होलासोथार गाउँपालिका,6,महिला सदस्य,25772,194,E,1
0,4,खो काशी गुरुङ,महिला,47,नेपाली काँग्रेस,लमजुंग,क्व्होलासोथार गाउँपालिका,6,महिला सदस्य,25773,155,,2
1,4,तिर्थ कुमारी घर्ति,महिला,33,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी-लेनिनवादी),लमजुंग,क्व्होलासोथार गाउँपालिका,7,महिला सदस्य,25774,261,E,1
0,4,यूमाया गुरुङ,महिला,25,नेपाली काँग्रेस,लमजुंग,क्व्होलासोथार गाउँपालिका,7,महिला सदस्य,25775,250,,2
1,4,केश कुमारी गुरुङ,महिला,42,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी-लेनिनवादी),लमजुंग,क्व्होलासोथार गाउँपालिका,8,महिला सदस्य,25776,272,E,1
0,4,प्रेम कुमारी गुरुङ,महिला,38,नेपाली काँग्रेस,लमजुंग,क्व्होलासोथार गाउँपालिका,8,महिला सदस्य,25777,239,,2
3,4,मन माया क्षेत्री,महिला,52,राष्ट्रिय प्रजातन्त्र पार्टी ,लमजुंग,क्व्होलासोथार गाउँपालिका,9,महिला सदस्य,25778,12,,3
1,4,खास देवी गुरुङ,महिला,27,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी-लेनिनवादी),लमजुंग,क्व्होलासोथार गाउँपालिका,9,महिला सदस्य,25779,464,E,1
0,4,धन  माया  गुरुङ ,महिला,34,नेपाली काँग्रेस,लमजुंग,क्व्होलासोथार गाउँपालिका,9,महिला सदस्य,25780,218,,2
