SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
14949,0,1,भीम पराजुली,पुरुष,44,नेपाली काँग्रेस,मोरङ्ग,विराटनगर महानगरपालिका,,प्रमुख,23031,E,1
14950,1,1,विनोद प्रसाद ढकाल,पुरुष,50,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी-लेनिनवादी),मोरङ्ग,विराटनगर महानगरपालिका,,प्रमुख,17321,,2
14951,4,1,उमेश कुमार यादव,पुरुष,43,"संघीय समाजवादी फोरम, नेपाल ",मोरङ्ग,विराटनगर महानगरपालिका,,प्रमुख,14958,,3
14952,3,1,प्रहलाद प्रसाद साह -  हलुवाई,पुरुष,57,राष्ट्रिय प्रजातन्त्र पार्टी ,मोरङ्ग,विराटनगर महानगरपालिका,,प्रमुख,5524,,4
14953,84,1,शिव प्रसाद अधिकारी,पुरुष,65,स्वतन्त्र,मोरङ्ग,विराटनगर महानगरपालिका,,प्रमुख,232,,5
14954,84,1,गणेश राज विष्ट,पुरुष,39,स्वतन्त्र,मोरङ्ग,विराटनगर महानगरपालिका,,प्रमुख,49,,6
14955,62,1,घनश्‍याम टण्डन,पुरुष,53,चुरेभावर राष्ट्रिय एकता पार्टी नेपाल,मोरङ्ग,विराटनगर महानगरपालिका,,प्रमुख,2,,14
14956,37,1,लिलो महन राजवंशी,पुरुष,48,नेपाल कम्युनिष्ट पार्टी (माक्र्सवादी),मोरङ्ग,विराटनगर महानगरपालिका,,प्रमुख,31,,8
14957,84,1,जगत प्रसाद अर्याल,पुरुष,47,स्वतन्त्र,मोरङ्ग,विराटनगर महानगरपालिका,,प्रमुख,30,,9
14958,84,1,सन्तोष सरकार,पुरुष,40,स्वतन्त्र,मोरङ्ग,विराटनगर महानगरपालिका,,प्रमुख,20,,10
14959,84,1,तारा बहादुर तामाङग,पुरुष,44,स्वतन्त्र,मोरङ्ग,विराटनगर महानगरपालिका,,प्रमुख,18,,11
14960,84,1,पुष्प नारायण प्रधान,पुरुष,63,स्वतन्त्र,मोरङ्ग,विराटनगर महानगरपालिका,,प्रमुख,17,,12
14961,33,1,गोपाल प्रसाद गिरी,पुरुष,63,नेपाल समावेशी पार्टी,मोरङ्ग,विराटनगर महानगरपालिका,,प्रमुख,3,,13
14962,84,1,राज कुमार कार्की,पुरुष,61,स्वतन्त्र,मोरङ्ग,विराटनगर महानगरपालिका,,प्रमुख,34,,7
