SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
30150,0,5,हिरा बहादुर खत्री,पुरुष,45,नेपाली काँग्रेस,रुपन्देही,देवदह नगरपालिका,,प्रमुख,10211,E,1
30151,1,5,टीकाराम जैसी चापागाई,पुरुष,47,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी-लेनिनवादी),रुपन्देही,देवदह नगरपालिका,,प्रमुख,10099,,2
30152,84,5,रुप सिंह थापा,पुरुष,32,स्वतन्त्र,रुपन्देही,देवदह नगरपालिका,,प्रमुख,0,,11
30153,84,5,राज कुमार न्यौपने,पुरुष,29,स्वतन्त्र,रुपन्देही,देवदह नगरपालिका,,प्रमुख,1,,10
30154,12,5,युवराज वि क,पुरुष,29,नेपाल मजदुर किसान पार्टी ,रुपन्देही,देवदह नगरपालिका,,प्रमुख,5,,9
30155,84,5,रघुनाथ अर्याल,पुरुष,55,स्वतन्त्र,रुपन्देही,देवदह नगरपालिका,,प्रमुख,12,,8
30156,9,5,मुक्त बहादुर मगर,पुरुष,40,राष्ट्रिय जनमोर्चा ,रुपन्देही,देवदह नगरपालिका,,प्रमुख,47,,7
30157,3,5,अकलुन निसा मुसलमान मिया,महिला,50,राष्ट्रिय प्रजातन्त्र पार्टी ,रुपन्देही,देवदह नगरपालिका,,प्रमुख,676,,3
30158,60,5,दल बहादुर थापा,पुरुष,59,राष्ट्रिय जनमुक्ति पार्टी,रुपन्देही,देवदह नगरपालिका,,प्रमुख,504,,4
30159,67,5,तेज लाल डुम्रे,पुरुष,53,"नयाँ शक्ति पार्टी, नेपाल",रुपन्देही,देवदह नगरपालिका,,प्रमुख,172,,5
30160,84,5,प्रेम बहादुर अदै मगर,पुरुष,37,स्वतन्त्र,रुपन्देही,देवदह नगरपालिका,,प्रमुख,119,,6
