
ललितपुर
नेपाल कम्युनिष्ट पार्टी (माले)
नेपाल कम्युनिष्ट पार्टी (एकीकृत माक्र्सवादी लेलिनवादी)
संघीय समाजवादी फोरम नेपाल
राष्ट्रिय मधेश समाजवादी पार्टी
मधेशी जनअधिकार फोरम नेपाल ( लोकतान्त्रिक)
नेपाली काँगे्रस
नेपाल कम्युनिष्ट पाटी (माओवादी केन्द्र) जनजागरण पार्टी नेपाल
नेपाल मजदुर किसान पार्टी
तराई मधेश लोकतान्त्रिक पार्टी
राष्ट्रिय प्रजातन्त्र पार्टी
राष्ट्रिय यर्थाथवादी पार्टी नेपाल
"नयाँ शक्ति पार्टी, नेपाल"
नेपाल पूर्व राष्ट्रसेवक लोकतान्त्रिक पार्टी
राष्ट्रिय चुरेभावर पार्टी
संघीय लोकतान्त्रिक राष्ट्रिय मञ्च
लिवरल डेमोक्रेटिक पार्टी
विवेकशील नेपाल दल
हाम्रो नेपाल पार्टी
राष्ट्रिय शिवसेना पार्टी
नेपाल कम्युनिष्ट पार्टी (माक्र्सवादी)
चुरेभावर लोकतान्त्रिक पार्टी
चुरेभावर राष्ट्रिय एकता पार्टी नेपाल
राष्ट्रिय जनमुक्ति पार्टी
मुस्कान सेना
"जनसमाजवादी पार्टी, नेपाल"
शान्ति पार्टी नेपाल
मितेरी पार्टी नेपाल
नेपाल कम्युनिष्ट पार्टी
नेपाल जनता पार्टी
राष्ट्रिय मुक्ति आन्दोलन नेपाल
राष्ट्रवादी एकता पार्टी
लोक कल्याणकारी जनता पार्टी नेपाल
ग्रीन पार्टी नेपाल
